Tаблица 1;;;;;;;;
сеть;протокол;группа тикеров;тикер;риск;apr;сайт пула;протокол + тикер;ссылка defilama
ethereum;aave;stables;gho;aa;3,25%;https://app.aave.com/staking/;aave gho;
ethereum;aave;stables;usdc;aaa;2,53%;https://app.aave.com/reserve-overview/?underlyingAsset=0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48&marketName=proto_mainnet_v3;aave usdc;https://defillama.com/yields/pool/aa70268e-4b52-42bf-a116-608b370f9501
ethereum;compound;stables;usdc;aaa;3,79%;https://app.compound.finance/?market=usdc-mainnet;compound usdc;https://defillama.com/yields/pool/7da72d09-56ca-4ec5-a45f-59114353e487
ethereum;compound;stables;usds;aaa;5,24%;https://app.compound.finance/?market=usds-mainnet;compound usds;
ethereum;curve;stables;crvusd/crv;aaa;5,40%;https://curve.fi/lend/ethereum/markets/?type=supply;curve crvusd/crv;https://defillama.com/yields/pool/0302b78c-dad6-4867-afe1-a53543a6691e
ethereum;ethena;stables;usde;aa;4,68%;https://app.ethena.fi/liquidity;ethena usde;https://defillama.com/yields/pool/66985a81-9c51-46ca-9977-42b4fe7bc6df
ethereum;euler;stables;usdc prime;a;6,78%;https://app.euler.finance/vault/0x797DD80692c3b2dAdabCe8e30C07fDE5307D48a9?network=ethereum;euler usdc prime;https://defillama.com/yields/pool/a0f53224-c152-416e-8599-4563e70c6040
ethereum;euler;stables;usdc yield;a;7,41%;https://app.euler.finance/vault/0xe0a80d35bB6618CBA260120b279d357978c42BCE?network=ethereum;euler usdc yield;https://defillama.com/yields/pool/fa68041a-2ce5-4ee5-88a0-ec5185f0bdb7
ethereum;fluid;stables;GHO;a;4,97%;https://fluid.io/lending/1/GHO;fluid GHO;
ethereum;fluid;stables;sUSDS;a;4,50%;https://fluid.io/lending/1/sUSDS;fluid sUSDS;
ethereum;fluid;stables;USDC;a;5,66%;https://fluid.io/lending/1/USDC;fluid USDC;https://defillama.com/yields/pool/4438dabc-7f0c-430b-8136-2722711ae663
